Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Genesis Beauty Salon,1300 S Springfield,Midwest,09/08/2011,$77500.00,$38750.00,Complete Renovation
Lincoln Square Athletic Club LLC,4662 N Lincoln,Western Ave North,09/09/2011,$1294560.46,$150000.00,Complete Renovation
Empire Cooler Service,940 W Chicago,River West,09/14/2011,$78155.40,$39077.70,"installation of new entry doors, construction of a new stairwell and stairwell renovation, bathroom renovation and installation of new fixtures, installation of new windows, resurfacing of existing asphalt parking lot, and installation of new energy efficient lighting"
Law Offices of McCready,10008 S Western,Western Rock Island,09/14/2011,$24570.63,$12285.32,"roof, parking lot, window, doors, insulation, signage, fence"
DANK Haus,4740 N Western,Western Ave North,09/22/2011,$16580.00,$12435.00,"fire doors, chimney,"
GB Group Inc,3932 N Lincoln,Western Ave South,09/22/2011,$45500.00,$30937.50,"floor, roof, heating, windows, facade, signage"
Great Chicago Food & Beverage,3149 W Devon,Devon/Western,09/22/2011,$65000.00,$37425.00,renovation of the dining room and kitchen
Ignotz Ristorante,2423 S Oakley,Pilsen,09/22/2011,$283700.00,$141850.00,"Expand into adjacent lot, buildout, plumbing, electrical, drywall, tuck pointing, hvac, windows, doors"
Jane Adams Delta Development,4432 N Ravenswood,Ravenswood,09/27/2011,$9353.00,$7014.75,Replacing chain link fence with wrought iron
Japanese American Service Committee,4427 N Clark,Clark/Montrose,09/28/2011,$59475.46,$29737.73,Roofing
Jeremy Davenport,5048 S Indiana,47th/King,09/28/2011,$38430.00,$28822.50,Complete Renovation
The Windsor Tavern,4530 N Milwaukee,Jefferson Park,09/28/2011,$48854.68,$23427.34,"drywall, security, awning, lighting, sign, trellis extension?, door opening, garage roof"
Vogel Industries Inc DBA DeCardy Diecasting,3935 W Shakespeare,Pulaski Industrial,09/28/2011,$175000.00,$85492.43,new chilled water piping and gravity return pit to collect return water and re-use
Farhad Nikamalfard,1358 N Western,Humboldt Park,10/03/2011,$145345.17,$109008.88,complete rehab
Hilary's Cookies Inc,4917 N Lincoln,Western Ave North,10/03/2011,$22679.00,$10133.45,"HVAC, electrical, plumbing, floors, countertop, awning"
Hispanic Regional Clinics,5544 W Belmont,Belmont/Central,10/03/2011,$44200.00,$21120.00,facade
See Spot Run Kennel Inc,2756 W Fulton,Kinzie Industrial Corridor Industrial Corridor,10/03/2011,$17924.23,$13443.70,"parking lot, windows, brickwork, security, lighting, HVAC, wrought iron fence"
Steinhardt Builders Inc,6252 N Lincoln,Lincoln,10/04/2011,$134139.50,$100604.62,"electrical, framing, insulation, windows, drywall, painting, siding, masonry, HVAC, roofing"
Angie M Starr,11114-16 S Kedzie,111th/Kedzie,10/05/2011,$3630.00,$2272.50,"cement work, gutters"
Bark Bark Club,5943-45 N Broadway,Hollywood/Sheridan,10/05/2011,$35330.00,$25500.00,hvac
Amy's Candy Bar,4704 N Damen,Western Ave North,10/06/2011,$47735.96,$35640.00,"plumbing, awning, flooring, electrical, roof, facade,"
Chef On Call,177 N Ada,Kinzie Industrial Corridor Industrial Corridor,10/06/2011,$203046.66,$150000.00,Basement and first floor buildout
Joann Ruiz,5637-41 N Lincoln,Lincoln,10/06/2011,$219500.00,$150000.00,Complete rehab
John Materna,2200 N Milwaukee,Fullerton Milwaukee,10/06/2011,$126288.50,$94716.38,restaurant buildout
Saluki Bar & Grill,1208 N Wells,Near North,10/06/2011,$84100.00,$41511.25,"Tuckpointing, roof, painting"
Sinha Ltd,2018 W Adams,Central West,10/06/2011,$15000.00,$11250.00,"Awning, signage, Handicap accessible, electrical"
Sports Awards,5544 W Armstrong,Elston/Armstrong,10/06/2011,$91595.00,$43853.97,"HVAC, boiler, roof, signage, windows, parking lot"
Kenwood Oakland Community Organization Rod Wilson,4242 S Cottage Grove,43rd/Cottage Grove,10/07/2011,$155845.05,$77922.53,"carpentry, HVAC, electrical, plumbing, roofing, cutting, patching, and repairs"
Cafe Internet Latino Inc,4101 W Armitage,Armitage/Pulaski,10/11/2011,$20000.00,$15000.00,Interior renovations/facade
Christopher Georgiades,4067 W Fifth,Midwest,10/11/2011,$147200.00,$110400.00,"New glass block windows, lighting fixtures, flooring, steps, drywall, paint, new doors, locks, ceiling drywall, handrails, new bathroom, new ventilation system"
Justin Blair & Company,4500 W 31st,Little Village,10/11/2011,$118548.00,$59274.00,"interior remodel/renovation of office space, buildout, ceiling, lighting, carpet, bathroom, ada update, electrical, drywall"
Lawndale Properties LLC,3437-47 W Madison,Midwest,10/11/2011,$12050.00,$9037.50,
Manuel Vavoulas,900-08 S California,Midwest,10/11/2011,$102159.91,$76619.93,complete rehab
Sassafras Enterprises Inc ,1622 W Carroll,Kinzie Industrial Corridor Industrial Corridor,10/11/2011,$82350.00,$41175.00,"windows, masonry"
1756 W Lake LLC,1756 W Lake,Kinzie Industrial Corridor Industrial Corridor,10/12/2011,$47500.00,$23210.00,"Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
Saluki Bar & Grill,1208 N Wells,Near North,10/12/2011,$84100.00,$41511.25,"Tuckpointing, roof, painting"
Bald Eagle Foods Inc,1640-48 W 115th,119th/I-57,10/14/2011,$43000.00,$32250.00,"parking lot, awnings, outdoor ID sign and reader board, fence, paint exterior, roof, barriers, interior, cameras, hvac, purchase adjacent land for parking and expansion"
John Materna,2200 N Milwaukee,Fullerton Milwaukee,10/19/2011,$126288.50,$94716.38,restaurant buildout
Progressive Industries Inc,2733 N Pulaski,Pulaski Industrial,10/19/2011,$73616.13,$32893.65,"refurbishment of existing office space, lunchroom, and restrooms, steel work, flooring, electrical, plumbing, lumber materials, heating and air, drywall, painting, cabinets/countertops, windows, doors, finish carpentry, and stairs"
Time Treasures Antiques Inc,6021-6025 W Irving Park Rd,West Irving Park,10/24/2011,$27375.00,$20531.25,"HVAC, roofing, electrical, facade, flooring at 6021 W. Irving Park"
Petra Manufacturing,6600 W Armitage,Galewood/Armitage Industrial,10/25/2011,$39744.00,$19872.00,"Roof, Lighting , windows, garage doors, leveling foundation, carpet, renovation of unused portion of the building"
VMZ Industries,7401 S Pulaski,Greater Southwest West,10/25/2011,$198700.00,$99350.00,"concrete work, windows, wall support, and replacing heaters"
Chesterfield Tom Thumb Daycare,9214 S Cottage Grove,87th/Cottage Grove,11/02/2011,$6300.00,$4725.00,kitchen renovation
Nationwide Furniture Distributors Inc,1000 S Kostner,Roosevelt/Cicero,11/07/2011,$200000.00,$110000.00,pave parking lot to achieve zoning requirement for business license
Selvam Ltd Medical Clinic,946 W 79th,79th Street,11/11/2011,$28850.00,$21015.00,"flooring, windows, cabinets, parking lot, insulations"
YMV LLC,3811 W Lake,Northwest Industrial Corridor,11/16/2011,$157283.75,$116593.13,complete renovation
Jane Adams Delta Development,4432 N Ravenswood,Ravenswood,11/18/2011,$1903.00,$1427.25,"parking lot development, wrought iron fencing"
Chromium Industries Inc ,4645 W Chicago,Northwest Industrial Corridor,11/21/2011,$91918.46,$45959.23,"boiler, oven, roof, insulation, air compressor,"
Convenience for you Inc,5337 W Madison,Madison/Austin,11/21/2011,$12000.00,$9000.00,"labor and materials, internal framing and buildout"
Harvest Christian Bookstore,10600 S Western,Western/Rock Island,11/21/2011,$42335.22,$21167.61,"storefront, awning, ADA ramp, parking lot, fence, landscaping, windows, stairs, signage,"
John Materna,2200 N Milwaukee,Fullerton/Milwaukee,11/21/2011,$75000.00,$55283.62,restaurant build-out
Little Insprirations Inc,5480 S Kenwood,53rd Street,11/21/2011,$119523.67,$89642.75,Complete rehab
Marc Barney,4200 W Wrightwood,Pulaski Industrial Corridor,11/21/2011,$17200.00,$12900.00,"flashing, downspouts, fence, cover windows, redirect electric pipes"
Michael J Krepps DDS & Associates ,3806 W 63rd,63rd/Pulaski,11/21/2011,$7520.00,$5640.00,Roofing
Mustard Seed Learning Center,3656 W 111th,111th/Kedzie,11/21/2011,$55371.35,$41528.51,"carpentry, drywall, plumbing, electric, hvac, ceilings, cabinets"
Ecolit,1939-59 W Fulton St,Kinzie Industrial Corridor Industrial Corridor,11/28/2011,$72780.00,$54585.00,HVAC and associated electrical work
AA Tempo Auto Inc,3431 N Pulaski,Avondale,11/29/2011,$36350.00,$27262.50,"parapet wall, sewer, concrete, roof hatch"
Caf̩ Internet Latino Inc,4101 W Armitage,Armitage/Pulaski,11/29/2011,$17000.00,$12750.00,"exterior work consisting of tuck-pointing, replace metal lintels, brick up 9 windows, power-wash and grind joints, remove paint on east side, and new front entrance"
"Chicago's Pulse CPR Training, Inc.",3209 & 3211 W. 111th St. ,111th/Kedzie,11/29/2011,$34485.00,$25863.75,"remodeling of the interior of the commercial space: doors, tile, paint, windows, carpentry, electrical, plumbing, ceilings, walls, floors, and new signage"
Donald Lockett,5638 W Chicago,Austin Commercial,11/29/2011,$11385.00,$8538.75,"parking lot, HVAC, sign"
Farhad Nikamalfard,1358 N Western,Humboldt Park,11/29/2011,$15197.00,$11397.75,"electrical, roofing, windows, and doors"
Time Treasures Antiques Inc,6021-6025 W Irving Park Rd,West Irving Park,11/29/2011,$15870.00,$11902.50,HVAC
unimart One Stop Shopping,5845 N Clark,Clark/Ridge,11/29/2011,$10000.00,$2500.00,"sign, parking lot, hvac, tuckpointing, sliding doors"
Yeimi's Unisex Beauty Salon,1823 W Irving Park,Western Ave South,11/29/2011,$28980.00,$21735.00,"relocate manicure tables including electrical outlets, exhaust fans, and exit door in rear"
John Materna,2200 N Milwaukee,Fullerton/Milwaukee,12/01/2011,$75000.00,$55283.62,"a build-out including framing, drywall, rough plumbing, electrical, and HVAC, concrete work, and painting exterior of building"
Mustard Seed Learning Center,3656 W 111th,111th/Kedzie,12/01/2011,$55371.35,$41528.51,"carpentry, drywall, plumbing, electric, hvac, ceilings, cabinets"
Claudia's Jewelry Inc ,4644 S Ashland,47th/Ashland,12/02/2011,$58700.00,$44025.00,"brick work, roof"
Edward Noonan Associates,1807 W Sunnyside,Ravenswood,12/02/2011,$153040.00,$71475.00,"exterior concrete and masonry repairs and associated caulking, coating, and sealing"
Sinha Ltd,2018 W Adams,Central West,12/02/2011,$3228.40,$2421.30,"electrical work including new exit signs and emergency lighting, fire doors, extended door framing and roof repairs, fire extinguisher, new fire glass blocks, and masonry"
Burke's Public House,5401-03 N Broadway,Bryn Mawr/Broadway,12/05/2011,$119009.97,$59504.99,"Carpentry, electrical, plumbing, HVAC, refrigeration, masonry"
Sharon Hicks,5735 W North,Austin Commercial,12/05/2011,$50338.79,$37754.09,"complete renovation, masonry, fence, landscaping"
Chromium Industries Inc ,4645 W Chicago,Northwest Industrial Corridor,12/06/2011,$91918.46,$45959.23,"boiler, oven, roof, insulation, air compressor,"
Apatura Studio Inc,1023 W Jackson Blvd,Central West,02/06/2012,$29800.00,$22350.00,"new windows, aluminum double glass, five columns"
Harvest Christian Bookstore,10600 S Western,Western/Rock Island,12/06/2011,$42335.22,$21167.61,"storefront, awning, ADA ramp, parking lot, fence, landscaping, windows, stairs, signage,"
Bozena Hadou,4255 & 4257 W Armitage,Armitage/Pulaski,12/15/2011,$121580.00,$50348.73,"remodeling work including installation of HVAC, a fence, a new patio and entry door, installation of a new washroom, mop sink, and small sink, plumbing, and an exhaust system"
Bubbly Dynamics LLC,1400 W 46th,47th/Ashland,12/15/2011,$86400.00,$60092.98,"masonry work (repairs, replacement of lintel and damaged brick, installation of new windows, and material expenses.)"
Clark Tire Service,6501 N Clark,Clark/Ridge,12/15/2011,$27925.00,$20943.75,"new sign, parking lot repair,"
Jeremy Davenport,5048 S Indiana,47th/King,12/15/2011,$74493.21,$55869.91,"storefront, ceilings, flooring, HVAC, doors, masonry, roofing, electrical, and hot water heater"
La Villa Restaurant Inc,3632-38 N Pulaski,Avondale,12/15/2011,$102400.00,$51200.00,"carpeting, roofing, HVAC, interior remodeling, Hood"
Uru-Swati Companies LLC,2601 W Devon,Devon/Western,12/15/2011,$132877.00,$66606.41,Duct work
Sports Awards,5544 W Armstrong,Elston/Armstrong,12/16/2011,$55120.00,$27560.00,roofing
Baja Foods LLC,636 W Root,Stockyard Annex,12/19/2011,$23310.00,$11655.00,"oil separator, refrigeration cooling system"
Elizabeth Cunningham,4550 N Elston,Lawrence/Pulaski,12/19/2011,$7300.00,$3465.00,"driveway replacement,"
M + R Laundromat Inc dba Family Pride Quick Wash,3101-3103 N Cicero,Belmont/Cicero,12/19/2011,$220000.00,$150000.00,"hot water system with storage tank, water heater/boiler replacement, solar electric system"
Baja Foods LLC,636 W Root,Stockyard Annex,01/05/2012,$23310.00,$11655.00,"oil separator, refrigeration cooling system"
M + R Laundromat Inc dba Family Pride Quick Wash,3101-3103 N Cicero,Belmont/Cicero,01/05/2012,$220000.00,$150000.00,"hot water system with storage tank, water heater/boiler replacement, solar electric system"
Sang H Han,5806 N Lincoln,Lincoln,01/09/2012,$38500.00,$9625.00,"balance of grant for roofing work, installing windows and a garage door, storefront renovations, and plumbing"
La Fonda Latino Grill,5350 N. Broadway,Bryn Mawr/Broadway,01/11/2012,$29780.00,$22335.00,"front fa̤ade restoration with new face brick and limestone, install two new i-beams for two windows, lintels, flashing, masonry, tuck-pointing, and masonry wall painting"
Phoenix Bean LLC,5438 North Broadway,Bryn Mawr/Broadway,01/11/2012,$49557.96,$16120.00,HVAC
Research House for Asian Art,3217 S Morgan,35th/Halsted,01/11/2012,$128250.00,$96187.50,"facade, HVAC, ADA bathroom, lighting, flooring, pavement, roof,"
BJ Furniture + Antiques,6901 N Western,Touhy/Western,01/12/2012,$64850.00,$48637.50,"Restore fa̤ade, tuckpointing, doors, windows, energy efficient"
John Toumplis,3131-35 N Central,Belmont/Central,01/12/2012,$9000.00,$6750.00,storefront
Lickity Split Frozen Custard & Sweets,6056 N Broadway,Hollywood/Sheridan,01/12/2012,$103038.00,$69240.75,"Interior Renovations, storefront, awning, sandblasting"
Metropolis Coffee Co LLC,5545 N Clark,Clark/Ridge,01/12/2012,$88120.40,$44060.20,"Roasting System utility renovations, Electrical, ventilation, plumbing, carpentry, rigging"
Steinhardt Builders Inc,6252 N Lincoln,Lincoln,01/12/2012,$77710.75,$49395.37,Add Second floor to existing building
Half Italian Grocer LLC,2643 N. Milwaukee Ave.,Fullerton/Milwaukee,01/13/2012,$120012.55,$90009.41,"storefront, windows, doors, awnings, hvac, water service, electrical, bathroom, hood, stove"
North Kenwood Day Care Center,516 E 43rd,43rd/Cottage Grove,01/13/2012,$39090.20,$29317.65,playground
Elizabeth Cunningham,4550 N Elston,Lawrence/Pulaski,01/18/2012,$7300.00,$3465.00,"driveway replacement,"
"CSC Glass, Inc. ",1928-30 S. Fairfield,Western/Ogden,01/23/2012,$65450.00,$49087.50,Complete rehab
Copernicus Foundation,5216 W Lawrence,Jefferson Park,01/24/2012,$352339.00,$150000.00,Full interior/exterior renovations
Bald Eagle Foods Inc,1640-48 W 115th,119th/I-57,01/27/2012,$60000.00,$45000.00,"interior remodeling, concrete work, roofing, painting, and gutters"
Jeun Sik Son,6212 N Lincoln,Lincoln,01/27/2012,$102850.00,$77137.50,"complete rehab, parking lot"
Sabri Nihari Restaurant,2500-2 W Devon Ave,Devon/Western,01/27/2012,$151000.00,$75500.00,complete rehab
Dina Novillo,4209 W North,Pulaski Industrial Corridor,02/06/2012,$35000.00,$26250.00,"Roof Replacing, Tuck Pointing, Central Heat/Air, Plumbing & Electrical, Interior Painting"
Villa Roma Hair Designers,3936 N Cicero,Portage Park,02/06/2012,$600.00,$450.00,"floor, ceiling, update work station, electrical, plumbing, doors,"
"Axion Analytical Labs, Inc. / Hale 101, LLC",14 N Peoria,Near/West,02/07/2012,$141487.75,$106115.81,"HVAC, electrical, cabinetry, flooring, countertops, masonry doors, windows"
Del-Kar Pharmacy Inc,3726 W 16th,Midwest,02/07/2012,$14125.00,$10333.13,"plumbing, electrical, masonry, hvac, fa̤ade"
Francisco Flores,6120-24 N Pulaski,Peterson/Pulaski,02/07/2012,$24652.00,$12326.00,"masonry, repairs and upgrades to the loading dock and warehouse doors, roofing, and repairing the leaks and concrete damage in the garage area"
La Parrilla Columbian Steak House,6427 W Irving Park Rd,West Irving Park,02/07/2012,$57547.33,$34246.40,"lighting, electrical, plumbing, and awning"
Phoenix Bean LLC,5438 North Broadway,Bryn Mawr/Broadway,02/07/2012,$49557.96,$8442.50,tankless water heater and an automatic watering system
Time Treasures Antiques Inc,6021-6025 W Irving Park Rd,West Irving Park,02/08/2012,$28000.00,$21000.00,HVAC
Beverly Records & Costumes,11612 S Western,Western/Rock Island,02/08/2012,$40650.00,$30487.50,fa̤ade
Chicago Game and Gourmet,700 W Root St,Stockyard Annex,02/08/2012,$192228.00,$83638.00,build-out of industrial scale walk-in cooler and freezer
Ecolit,1939-59 W Fulton St,Kinzie Industrial Corridor Industrial Corridor,02/08/2012,$31500.00,$23625.00,masonry repairs including lintel replacement and tuckpointing and replacement of steel doors
Harrity's Sports Bar & Grill,3147 N Central,Belmont/Central,02/08/2012,$42000.00,$31500.00,complete rehab
Pronto Roma Inc,5022 N Clark,Clark/Montrose,02/08/2012,$48550.00,$24266.64,Interior renovations
Reb Steele Corporation,4556 W Grand,Northwest Industrial Corridor,02/08/2012,$215874.00,$107937.00,"lighting retrofit, roofing, tuckpointing, wall repairs, buildout"
Caf̩ Internet Latino Inc,4101 W Armitage,Armitage/Pulaski,02/10/2012,$29750.00,$22312.50,"electrical work, ceiling, painting, doors, and bath remodel"
DAT Old Fashioned Donuts,8247-51 S Cottage Grove,87th/Cottage Grove,02/10/2012,$105650.00,$71250.00,"fa̤ade work, masonry, carpentry, painting, asphalt painting, landscaping, wrought iron fencing, and signage"
Ping Dang & Yen Tran,1108-1110 W Argyle,Hollywood/Sheridan,02/10/2012,$131814.77,$98861.08,"HVAC, roof, electrical accessories, framing, flooring, ceiling, windows, doors"
George F Dalianis,5941-43 W Irving Park Rd,West Irving Park,02/13/2012,$16500.00,$8250.00,"roof, gutters, vestibule, tuckpointing"
Stephen Hill,9222-44 S Stony Island,Stony Island/Burnside,02/13/2012,$147214.54,$110410.91,"hvac, carpentry, roof, masontry, concrete, doors, chair list, electrical, signs, painting"
Betty's Daycare Academy Inc,5719-5723 W Chicago,Austin Commercial,02/14/2012,$45000.00,$33750.00,brick and masonry repairs to rehabilitate a condemned commercial building for expanded child care functions
Franklin Williams Enterprises Inc,3716 W Chicago,Chicago/Central Park,02/14/2012,$60500.00,$45375.00,"structure, drywall, painting, plumbing, hvac, electrical,"
